Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
718,Negative,came excited positive food absolutely add list work bahn shrimp bean sprouts crepe soggy came container also sisig reviews called sizzling meat instead salty flavor taste buds afterwards honestly take everything leftover kitchen sauce dish garlic literally garlic fried fat side sausage hungry nothing compare china street food available desire forcing walk saved giving restaurant wonderful outdoor atmosphere go lower ,came excited positive food add ,1,0,1
40,Positive,went dinner good list different sangria champagne blueberry pomegranate also extensive tapas menu bigger four people ordered perfect amount food food delicious favorites fried goat cheese garlic six sangria paid something tip expecting plan back ,went dinner good different sangria ,0,1,1
1114,Negative,stars yelp serious stars expect exceptional say place average dining party ok credibility comments seafood tasting pasta right osteria morini granted little expensive absolutely rates higher bit salty best dish tend foods dining companions disaster looked frozen crispy think freshly made waste might horrible grade inflation stars ,stars yelp say place average ,1,1,0
17,Positive,time nai last time back times experience welcoming attentive server friendly even offered waiting table reservations luckily table times flamenco thursdays nights good last time food fairly good ordered small snail chicken goat decent taste food mentioned ,nai last experience welcoming friendly ,0,1,1
100,Negative,review political views decidedly statement racist based race go overseas try speaking native good luck cheesesteak come maybe put face product took recently philly born bred thing disappointed premier philly ,review racist based go speaking ,1,1,1
28,Positive,must go night night bring bring grandparent bring stranger nights flamenco dancing rincon son daughter two shows everyone talking table electric traditional dancing energy julio huge suggested selected go octopus croquettes goat cheese stuffed julio upset sellers churrasco quail egg red dinner sherry think place plenty seafood try sit table make ,must night bring nights flamenco ,1,1,1
271,Negative,tells diner toms corn hash well start icalled pancakes corn bacon easy sausage mins later food im excited yes ing food plus tip nice eat sausages cooked easy look frying morning didnt even made eggs way ask eggs told asked eggs lmao laughing offered new passed gotten food dont waste money clearly ,tells hash start bacon mins ,1,0,1
59,Positive,tasty fresh rolls savory put amazingly clean proud props friendly eager read pats folks expecting cheesesteak places expectation beyond real lets simple ingredients put pieces largely determines outcome product lucky many philly embrace introducing newcomer let cheesesteak hope find great place steak ,tasty fresh rolls savory amazingly ,1,0,1
179,Negative,everything better history food standpoint even bleaker absurd ugly ruinous really owner joey vento racist arrogant loves antics outside walls seriously food diatribe abu much ,better history food even absurd ,1,0,1
25,Positive,came thursday night enjoy drinks flamenco warning ordered pitcher sangria sangrias perfect balance sweetness bubbles alcohol kind buzz flamenco passion includes dancers half thinking thankful manhattan without city feel teleported spain hours sucked show new want authentic intimate ,thursday night flamenco pitcher sangria ,1,0,1
137,Negative,excited finally time try steaks one two heard many times great many go blah blah fail dry onions raw annoying onion got brushed teeth ur tasted better nyc fooled hype lights made way order make better soft steak chopped onions peppers cheese regular less ladies ,excited finally time steaks many ,1,1,0
310,Positive,love owner think asks ok food fast fresh ordered bathroom food wow time go weekdays open around seen people waiting two different however eat far went cafe block yummy bad oh well pancakes butters serve beat ,love owner fresh bathroom waiting ,1,0,1
182,Negative,first steak today due onions onions thing redeeming experience commented neon lights xenophobia cheesesteak impression sandwich really small extra meat one distinct underwhelmed need impression ,steak today due onions neon ,1,1,0
27,Positive,birthday dinner around place tad hard literally block aimlessly minute waiter unueo prounounced card game gets top notch recommendations funny impeccable attentive extra tiny birthday girl big glass fruit mini candles dinner nothing short awesome props food mon wed around options tried mango sweet side champagne perfect sweet pitchers enough tapas options tapas regular tapas regular lot originally order managed skirt cooked side version chimichurri extra paprika sauce sauce amazing take away done mussels entire thing free bread shrimp sauce kept saying dipped bread garlic good oxtail juicy recommendation point oxtail spot heard music show fridays planning talk lot ,birthday dinner waiter game top ,1,0,1
260,Negative,many raved worthy restaurant seat one came least decided restaurant busy took long served finally ask server never asked seats pushed seat pancakes sausage huge extremely flavorful cooked pork sausages dry hard given likely will two ,many came least decided busy ,0,1,0
183,Positive,welcome philly cheese steaks place ugly people will tell south philly steak gone tony rolls used used cheese grew city raised partisan time old enough eat steak got great roast pork around eat store brightly see space place know window line long window want line also please talk paying window told go line rude element charm order say type cheese want whether onions something american provolone wit sound local wit wit onions now many people especially something however self respecting cheese will order cheese cheese invented yet steaks first sold provolone order prefer provolone melts among devotees guy counter always tourists suburbs ones cheese wiz authentic advice steaks window steak ask peppers condiment adds amount flavor fooled cities peppers sandwiches red green always ones sandwich car luck finding spot instead nothing food everything confrontational signs posted around business xenophobic customers order english fries instead french fries elsewhere though support going back usually let cravings mouth thinly steak provolone cherry cheese fat way understand people steaks gotta make mind ,south rolls city raised old ,1,1,0
781,Negative,place establishment history snug bar inn others mentioned see signed pictures beautiful norman rockwell service unacceptable flag someone greeted server treated us pretty us busy lunch hours another time weekday similarly awful order food hour later still nothing asked going coldly probably fewer dozen whole place appeared well staffed though best princeton dampened mood ,place establishment history mentioned see ,0,1,1
157,Positive,philly steak onions melted cheese good classic cheese fast music members helped run cancer patio even world series saturday seating including locals seems place many negative coming take apparent zealous patriotism ignore philadelphia institution constitution visit plan competitor got ,melted good classic music helped ,0,1,1
171,Negative,going review sandwich totally eaten live around rest review deserves vento immigrant history question want someone answer cheesesteak language anyone untranslatable real reason priced tourists locals half cheesesteak much soda plus freedom bucks still fries french pu ies jag vento must freedom rather sandwiches joey racists english annoys watch want something toilets sense make hate hate ,going review sandwich totally eaten ,1,1,0
62,Positive,ok talked admit picking friend flight delayed hours instead city drove first steaks whiz thing cracked tried first time though steak one go window drink weird good go ,admit city first thing tried ,1,0,1
103,Negative,home steak steaks delicious several bread meat walked better fact almost exactly find saying made filet mignon gruyere combination bread flavorful real cheese need south now find ,steak steaks meat walked better ,1,1,0
50,Positive,ay ay maybe file spanish food done fresh crazy re inventions pentagonal plates half table bite food center molecular gastronomy huge place heart food without smoke lights pulpo gallega best nyc spanish restaurant tender chewy well seasoned kinda waiter kind sauce aioli tomato sauce yum exponentiallly came sauces begin great soft good omg wtf spooning brandy come fish spectacular soft fried contrasting saltiness finally dessert prices really good good try got santiago spanish waiter mom home say deeply childhood food ntb although nyc least experiences enough many plowed restaurants herds wielding cook date go made despite forced grit rather smile food shovel restaurant repeat stopped took cooking ntb made believe eating made good flamenco dancing past reviewers alluded amazing worth performers taking break good gnr mexican cousins slightest downed wine chatted staff never raved experience pretty ditching avenue finally ,spanish done fresh re center ,1,0,1
104,Negative,worse bit constructive compelling reason foundation less muzak another stale carbs five pieces concrete squares watery trail cheese nightmare portions cloud bread strangely salt helped steak dirty salt incredulously insufficient restaurant depends dollars tourists ray friends speak best never anywhere making least regard discussing price actually bad come wrapped console hapless diner actual price tag egregious want similar experience homeless eat ,worse reason less another stale ,1,1,0
156,Positive,wun wiz wit cheesesteak honest story perhaps years straight street selling exact flashy guess business think static px bphotâ cheese somewhat bread solid bouncy baguette meat instead pieces makes solid ground sorry new guys ,wit story straight bread solid ,1,1,0
191,Negative,rice point amazing let cons proportion small share dishes entrees asian meant time meat meat supposed soft curry tasted pan tossed around really speak thai sweet summer mango sticky rice dessert good seemed drunken ,point let proportion meant time ,1,0,1
200,Positive,reviews new neighbor say ridiculously things obsessed pad thai see tofu vegetarian gotten chicken meatballs tasty nice amount one several phraya express blame matter mentioned bit side know bothered sense time maybe advice wine settle bit worth fyi dangerous ,obsessed pad thai gotten meatballs ,1,1,0
102,Negative,say philly philly well least guess precedes expecting miracles tried experience less satisfying sandwich fries another wait short heat lines system sandwich minute eagerness finally great sandwich tiny meat barely perceptible cheese soft tasted thawed freezer disappointment worth money ,say philly least guess less ,1,1,0
39,Positive,best kept favorite tapas bar serving deliciousness hangar steak tender well small portion nicely sized solid croquette suffice order escargot really expect escargot spain snails size sauce happy hour prefer love place ,best kept favorite tapas bar ,1,1,0
93,Negative,big living exploring market better places go one place want got ambiance tourist always big crowd neon sight see drive walk somewhere else sandwich good amount left meat pretty nothing compared worst place service see sticker english another management refuse sums tough south folk will tell way will definitely eye ask instead wiz want think ok racist food cheese drinking street actually want good go south columbus ,market better places go place ,1,1,1
29,Positive,breath fresh tapas city nai tapas bar tasty small atmosphere food ambiance reminded tapas bars spain refined anything artery clogging great place meet friends breeze jamon setas last ,fresh tapas city nai bar ,1,0,1
119,Negative,past favorite now hyped tourist lines attractive lights mural encounters beef flavor ever pretty cheesesteak mention horrible rude look customers english well cheesesteak across review deterred enough try bring accept credit seating available outdoors ,now tourist lights ever pretty ,1,1,0
243,Positive,yes know barely day type annoyed hungry wanted give half star however everything restaurant expected liked decor modern dark though salmon sticky really delicous will seconds ,everything restaurant expected liked decor ,1,1,0
185,Negative,eh cheese pretend local cheese steaks deli place ruins nice corner yay lights framed pictures maybe oh aura signs read likes america beloved police officer died foreigner street class better food service line great haha irony ,cheese steaks deli place corner ,1,1,1
205,Positive,italian meet recommended let us know order bread marinated dipping sauce let us know bathroom good portabella stuffed crabmeat roasted garlic sauce italian flavor fried sauce server place friendly clean delicious ,recommended bread marinated dipping sauce ,1,0,1
217,Negative,since different local pretty much kept lately something home connection place previously game neighborhood vegetarians service solid though slightly carnivores vegetarians found one us burger good much came choice salad got special either shelled meatloaf meat possible shape put pieces grained little fine nothing decent potato ok meat johnnycake actually pancake crepe sweet jalapenos nice flavor two us storied heavy waffle sauce actual tad hard really care sauce hot tastes ended taking half waffle two chicken pieces home ordered also maybe cold cake even moist eat going back going couple drinks nice fine good selection wines people lots lots tab ,since pretty much something place ,1,1,0
187,Positive,plan back future meals split crispy spring rolls chicken pad dishes impressed prices even take enough food home lunch service fresh orchids tables friendly owner check looking trying white elephant full although will difficult order khimao ,future split crispy rolls pad ,1,1,0
2141,Negative,spicy oily food indian friend strict vegetarian ordered vegetarian fried loaded chicken egg everything good spot ok replace horrible asked rice nothing came came trying place better ,food indian friend vegetarian ordered ,1,1,1
283,Positive,fluffy pancakes lemon one cup tea sorry yelpers joey fancy much flavor truly curious means might prudent one entire table love dishes ordering place service see heard likes go table asking everything cash atm machine inside ,fluffy pancakes lemon one tea ,1,0,1
125,Negative,kidding years im gonna philly cheesesteak inch onions explosion insane looking thing arrive got sorry miserable looking steak thought gave worst ever tasted life coming people joke brooklyn cheesesteaks mention total brooklyn play role business ass gonna youll sorry embarrassed offer ,years philly cheesesteak inch onions ,1,1,0
192,Positive,best curry philadelphia shoots mind love let upgrade spice level salad said winning tang tart yum soup good gave side tasty none less will customer rice wanted curry green good order ,best curry shoots love level ,1,0,1
285,Negative,beginning trust buds fellow yelpers decided go food went moment began pouring noticed immediately believe gag syrup oh tasteless toasts looked pressed iron took first bite last french toasts extremely bacon bacon hard chew eggs burnt dry banana pancakes doughy slices took order came back yea us ask someone else bad experience diners will never come back oh cash deal cheap take ,fellow decided go food began ,1,1,0
797,Positive,cake waiter service thanks yelp find sabarsky bit waiting time every minute hostess us front fireplace sure find website rhabarber rhubarb strawberry compote fresh elderberry sparkling water wait desserts ,cake waiter find sabarsky bit ,1,0,1
1794,Negative,story man nyu never neither food many yelp told confections went present passed eat smiling caught yesterday depressed caught told muttered everyone got pretty amount food tasted good felt yes flavor pointless put together vegetables chunk two textured based weird spicy soup much toilet later maybe guy really reason ,man neither food many yelp ,1,0,1
