Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label
466,Negative,first area back since noticed severe quality sometimes seriously negative service dartmouth complacent sloppy aside distinctly pizza service deliberately negative case ordered worth included pizza extra sauce ebas stingy opinion sans extra sauce consume waiter pizza back five later gobs sauce atop pizza completely unable sauce complained owner register seemed completely indifferent plight offered coupon visit last go anymore ,back since noticed quality seriously ,1
36,Positive,impressed hard tried tapas fried toast cracker pure works well riojana think bravas whether potato sausage every happy estofadas tasty came delicious dip bread seriously soak staff great check things super friendly even gave complementary dessert liquor need sufficiently mango may taste juice lot tropical also good better also live flamenco shows week love check ,impressed tried tapas well bravas ,1
64,Negative,fro really cheesesteak since steak cheese great staple make tastes need jose garces everything tastes now happening cheesesteaks dollar menu want medicore cheesesteak dude yells spot suggest getting heading roast ,cheesesteak since steak cheese staple ,0
15,Positive,time trying definitely last waiter helpful offered nice food got churrasco caracoles pelotillas de queso de cabra fried cheese delicious got try favorite skirt steak sauce tasty drinks good come big glass sangria good enough expensive good food come ,definitely helpful churrasco de delicious ,1
91,Negative,place tourists right mind eat competitors across street item actually edible fries american still wait line rude rushed steaks overpriced meat cold cheese rolls outside unsanitary nauseating go go known ne gooey pretty much anywhere ,place right mind eat across ,0
57,Positive,pats genos better personally used great read cheaped customer service surprisingly genos tourist sightseeing know go great steaks even seek second creepin nearly allow one ,pats great customer surprisingly one ,0
119,Negative,obnoxious exciting disappointed living whole waited turned finally try famous sandwiches day ordered american cheese peppers french fries meat big enjoy cheesesteak overall city experience try wil go back good ,disappointed living waited turned finally ,1
50,Positive,nai really heard raves yet quaint tapas bar inconspicuously east doors cozy happily enjoying munching full night walking impressed service able seat waiter mango sangria less two clearly disappoint liked sangria full boozy golden liquid fresh pretty night stars one make fall tapas trap know talking tapas bars charge require glass see food call selves cheap arm leg fill dishes come small plates running around running serve ton super twosome happy small plates break bank rather noteworthy spanish done mejalones mussels sauce wonderfully fresh paprika broth patatas bravas awesome white freaking noteable morue red stuffed cod fried small crispy bread legit fantastic exceptionally go back eats especially ,nai really raves yet tapas ,0
144,Negative,terrible cheesesteak even whiz wit lady everyone mean inside chopped give place oily flavor super blind kind deal english much america supposed town love country founded immigrants rant aside going side ,terrible cheesesteak even whiz lady ,1
37,Positive,went dinner good wine sangria white champagne blueberry pomegranate champagne tapas come bigger servings people tapas give perfect food delicious favorites goat potatoes garlic steak six two something including must plan ,went dinner good wine sangria ,0
99,Negative,city place compete granted known thousands gaudy neon international space happen directly street another well always followed reason slab thrown dressed onions cheese go city put higher quality product location key ,city place known neon international ,0
176,Positive,people shove middle finger since important probably pass knew select anyway pound pound though steak note said area probably efficient shop unless behind understand whiz perfection first sandwich actually got father astonishment police well fallen going respect whether philadelphia ones lives bringing love watching old men morning coffee lit benches days hungry afternoons perfect ride ,pass anyway pound though note ,0
127,Negative,friend traditional bit noon bad spot block much line got already forming decor pretty say got food seconds pretty racist signs place putting really reconsider reading signs really go back english press deporation really patriotism cross incredibly far ordered cheese fries coke american cheese onions ordering bit confusing different cheesesteak one move window fries pay prettttty slices onions ish really well roll looked wet one actually grease napkins went napkins felt digestible however tasty cheesefries fries bad whiz top bottom fries stuck together back another friend visiting wanted right across street really go overpriced signs really putting ,friend bad block much got ,0
21,Positive,went quiet dinner year reservation nice window server polite good dish much order small plates delicious came generous spicy potatoes variations one pretty also pomegranate delicious will definitely go back ,went quiet dinner year reservation ,0
115,Negative,hard please kinda nasty real non authentic threw away half way cheesesteak needed way ingredients came cheese onions minutes bull even believe overhyped people might hard legendary establishment bad takes cake press saying english really overlooked know throw will back ,hard nasty real away half ,1
20,Positive,wines sangria monday happy special decor taverna anadalucia gambas al ajillo calimar ink delicious impressed overall step overpriced sensationalized restaurants good tapas involves simplicity company ,wines sangria happy special decor ,1
177,Negative,childhood manayunk swept tornado magical world landed wicked witch east passyunk greeted people shouting sopranos dizzy confusion middle coffee sweatpants juicy tells want return home king people tell follow dog magical passing spas shops spas smelly man alien tower neon proportions complete blown photograph cheese beast spatula blocks path refuse free fries offer good turn whisper ear fan goes ape shit pummels steaks now might won super bowl last quest finished want man counter whiz please confidence hands cheese steak made whiz click fag shouts smelly man illegal alien everyone laughs heels outside place timeless void open mesmerized audacity dream going steak wrapped copy independence educational ,world people middle want home ,0
88,Positive,noticed april know touristy thing pats steak side side ready go touchy subject cheese steak think ready mail good better northern pretending far complaints staff window total seconds wiz nasty way nice ,touristy pats side ready good ,1
104,Negative,yes home cheese cheese steaks frankly several steaks great bread fantastic meat dry walked restaurant better fact almost exactly steaks elsewhere now needs made mignon gruyere combination fresh bread flavorful meat real good south philly now ,home cheese steaks frankly several ,0
27,Positive,night birthday put restaurant service give give good everybody uno served visited super duper friendly working good brought celebrate birthday asked us first worried contrary uno kept cake kitchen finished brought lit candle slices us even washed plate brought one slice course token food coconut will seriously life also sangrias favorite tropical chorizo cebollas great already times says lot ever return soon blogspot coâ foodcomalogs blogspot ,night birthday put restaurant good ,0
124,Negative,might fair tried steaks extremely satisfied set tough say much piping hot flavor cheese practically onions neither lemonade wash dryness steak thing things things bigotry extremely country proud felt terrible saying order english employees need ridiculous signs cheesesteak dry meat little cheese onions ruined think back ,steaks extremely tough much cheese ,1
195,Positive,stopped lunch friend delicious food quick seating restaurant clean lit quiet ordered crispy two pad ew panaeng curry spring rolls came rolls beautifully golden crispy soups fragrant lemon lime pad see ew curry spicy crisp carrots string beans peppers service food delicious definitely dine rice ,stopped lunch delicious quick restaurant ,0
152,Negative,julia finally place passed knew great versus cheesesteak battle stop choose line neon lights hoping use gauge better even waiting asked one tourist sure town went whiz topping great philly looked thing wtf big pieces taste even home much better one will drop ,finally place passed knew cheesesteak ,0
25,Positive,wow tip go table area flamenco place stars otherhand measly wah think favorite olive flamenco worth boyfriend took table second extremely reservations seated towards kind party people accomodate reservations got seated behind another table perfectly end matter restaurant spoke oceans hands elegantly endlessly night flamenco casted feet beat twisted around tapas yelp said couple pitches good servic really understood got octopus dish empanadas seemingly pretty terrible used something flamenco easy overlook bad food know food ultimate power dinner better food come nai tapas show lots sangria experience awesome ,area flamenco favorite olive reservations ,1
52,Negative,wanted nai host really lovely enjoy meal one started evening tropical sangria four tapas crabmeat patatas shrimp scallop pieces pieces octopus mound tomatoes green annoyed nearly seafood warrant tag dish devoid say grilled came veg cking green order tomatoes hate variety white inside crabmeat terrible strange mussels tasted ok tasted ketchup vinegar waiter least twice enjoyed tell heart give nai deserved bad ,wanted host started pieces tomatoes ,0
12,Positive,came absolutely chose wanted make everyone something liking waiter nice recommendations preferences also making reservation put small next window moved spacious next dinner good gave us bread good go bacalao grilled shrimp try skeptical stew best try also sangria price time waiting good couples groups highly place ,absolutely make everyone also reservation ,0
220,Negative,came tonight beer stone dead maybe yet took strong even finally strolled ask close call expected little attentive bar anyway guess place close place times partial ,came maybe took even finally ,0
522,Positive,cocktail lounge ever creative steven starr experience continental came working decided check dã locations tweaks told asked comfortable sitting somewhat controversial time said sure felt added extra dimension experience everyone main along plenty seating order drinks upstairs restaurant infamous swinging seating great action downstairs dimly lit bit loud raucous ideal place birthday perfect drinks dinner long little atmosphere said earlier anniversary service notch seated immediately dish perfectly executed comes thing restaurant wonderful retro pop cocktails drink refills pop will run dollars fact drink makes palatable liqueur sparkling lemon sour shanghai bacardi green tea sugar rim delicious time roasted red pepper cheese dip grilled pita onion soup cheese blew away even recreated home dip pita almost much plate presented always one time favorite dishes mignon wasabi mash bok choy girlfriend loves chilean miso chinese broccoli mash seriously eat filets sea bass dishes round girlfriend new tried made smirnoff blueberry crã violette lemon gummy tried margarita rivals elsewhere made pomegranate girlfriend ordered wonderful mascarpone crust candied cherries cranberry orange sorbet midtown banana wonton vanilla ice cream mind cheesecake seriously entire mine left something desired make size downstairs bathrooms noting mirrors sinks two mirrors restrooms care bathrooms restaurants enjoy mischief wonderful encouragement headed bar back weather warms degrees closing must continental town everyone expensive trendy delicious know getting doubts rooftop philly certainly worth visit ,cocktail ever creative continental working ,1
220,Negative,came tonight beer stone dead maybe yet took strong even finally strolled ask close call expected little attentive bar anyway guess place close place times partial ,came maybe took even finally ,0
