Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label
103,Negative,philly philly crack well guess expecting miracles tried experience satisfying sandwich one window fries another wait extremely short detract long may familiar sandwich whopping seems bit minute consume half extreme doubtful great meat perceptible cheese bread tasted thawed true worth money ,philly guess experience sandwich window ,0
44,Positive,favorite restaurant place life tempted try lover flamenco finally day arrived around asking two little lovely make wait entire hour fact basically losing since gone else instead sitting waiting idea appreciate rush anyway ogling food little table empty finally first gambas ajillo tell number wanted go badly today craving surpassed expectations end eventually servings croquetas bacalao queso de cabra ham still thing fantastic also amazing tinto tasty mango sangrã died still exquisite top dessert also perfect tarta de santiago beautifully balanced absolute best pals tonight forward coming back much frequently ambiance music knew played please forget flamenco show wonderful everyone ,favorite restaurant life try lover ,1
74,Negative,place full ethnically political immigrants even bring cheesesteak tasted steaks goodl back place years ago wanted street point never tried friends steaks first place walk waited line friends extremely prejudiced signs philadelphia establishment face working seemed rude across picked upside offensive signs steaks great south st prince classic want good cheesesteak much delicious supporting ,place even cheesesteak tasted steaks ,0
49,Positive,fact day means drink early village let yelpers guide decision led nai choice let waiter owner choose urgently octopus house fried crostinis sauce thrilling plate awesome crostinis delicious sangria make vat every day full choice red white pitcher first said pitcher white hehe yummy want go red bloody ,day early village yelpers nai ,0
63,Negative,long wait philly cheesesteak maybe expectation honest worth wait hype thing got excited took food say even extremely nothing bad talking really enjoy philly cheesesteak good ,long wait philly cheesesteak maybe ,0
28,Positive,minute friday night dinner reservation see nai still went service food service absolutely several times never friendly great recommendations checked regularly encouraged us try flavor yes pleasee even offered replace liking food meatballs bomb croquettes flavorful definitely recommend steak patatas bravas bit potato big alioli instead stood ed particular experience seating ambiance warm friendly anyone larger group dinners ,night dinner reservation nai still ,0
124,Negative,might fair tried steaks extremely satisfied set tough say much piping hot flavor cheese practically onions neither lemonade wash dryness steak thing things things bigotry extremely country proud felt terrible saying order english employees need ridiculous signs cheesesteak dry meat little cheese onions ruined think back ,steaks extremely tough much cheese ,1
53,Positive,quick check place hipsters stopped evening check live flamenco music music wonderful atmosphere even better good food interesting people also professional liked bartender tonight around ten things orders pouring moment food order still piping hot small experiences helpless food cooled end bar really appreciated happen flamenco dancers every definitely back ,quick stopped evening flamenco music ,1
60,Negative,town wanted philly took personally heard many good expect decent cheesesteak ordered cheesesteak cheesesteak less minutes sure babies now well many said cheesesteak bread chewy yank actual bite toasted stale mediocre meat barely tasted bit hard going first give food service save trouble list ,town wanted philly took heard ,1
13,Positive,months old friend cute place going gambas ajillo pretty much garlic gonna meal remember tail hour ended pretty never really sangria neighborhood recommend folks looking area small group ,months old cute gambas pretty ,1
165,Negative,warning stay away many bugs bug zapper end lived philly touristy pats tony many almost across pats places ever steaks par flavorless excited now street stay warned ,warning away many end philly ,1
12,Positive,came absolutely chose wanted make everyone something liking waiter nice recommendations preferences also making reservation put small next window moved spacious next dinner good gave us bread good go bacalao grilled shrimp try skeptical stew best try also sangria price time waiting good couples groups highly place ,absolutely make everyone also reservation ,0
163,Negative,worst steak understand likes unfriendly rude normal food steak pepper plastic way priced soggy bland let wife new philly tourist treat sorely steak unknown joint broad street good guy rude steak place ,worst steak understand rude food ,1
47,Positive,say enough nai group came day went beyond serve high top table tables back taken server laid back many tapas order everything away tapas pitchers white sangria standouts croquettes bravas fish dishes good well however stood accidentally brought touched house brought us house well whole ended tip alcohol kind service new alone incredibly upscale good prices unpretentious outstanding ,say enough nai group day ,0
152,Negative,julia finally place passed knew great versus cheesesteak battle stop choose line neon lights hoping use gauge better even waiting asked one tourist sure town went whiz topping great philly looked thing wtf big pieces taste even home much better one will drop ,finally place passed knew cheesesteak ,0
471,Positive,strange swinging balance toes sway eating brunch used thought food pretty good kinda hit miss said one star terrible syrup pancakes water alongside also serve us meals must running drinks decided champagne lime juice friend mimosa tang lining glass sweet flavors drink although sip strong courses salmon poached eggs side crisp bacon hash even smoked salmon chopped roasted sauteed onions also done well hard loved bit bummed another syrup overall solid meal continental hiccups food makes ,eating brunch pretty good kinda ,1
2482,Negative,best way goldroc geographically location minute hartford enough many come full extensive blame people turned veggie wraps eggs tuna melt reubens even go foods pass mark leave spend eat gross expect gals tough good often service generally bone shrewd count see delivering asking admit bizarre brow deny free scantily crazy awkward people past mandatory based solely food falls terribly hard comes quite amount cheap entertainment ,way location many people turned ,0
