rid,word_evid
14,second last time went years staff attentive times uno offered table even making reservations thursday live flamenco nights remember time good ordered bunch small plates ranging shrimp goat pretty taste go back food mentioned 
15,time trying definitely last waiter helpful offered nice food got churrasco caracoles pelotillas de queso de cabra fried cheese delicious got try favorite skirt steak sauce tasty drinks good come big glass sangria good enough expensive good food come 
16,evening must reservation see flamingo dancers thursday rustic tables large wooden bar old wood items make cellar went several make plates large large larger better deal go back change part mini dance entertained musicians turned brought feet much want unattractive learn dance place will 
17,going nai least years go tapas sangria happy hour run favorites patatas al ajillo de bacalao squid good every go satisfied arent afraid joke around customers 
18,came menu everything tasted really stood bravas special sauce liiiifeee mee potatoes perfectly made pollo warm cheesy couldnt chicken also croquetas jamon paella seasoned salty flavor rice perfection empanadillas de loooved beef outer besides food pitchers house sangria afterwards flamenco band dancers felt trip spain great ambience friendly kept drinks food sure make reservations 
20,wines sangria monday happy special decor taverna anadalucia gambas al ajillo calimar ink delicious impressed overall step overpriced sensationalized restaurants good tapas involves simplicity company 
21,went quiet dinner year reservation nice window server polite good dish much order small plates delicious came generous spicy potatoes variations one pretty also pomegranate delicious will definitely go back 
22,friends birthday dinner around say wandered aimlessly minute well service amazing unueo prounounced card top funny jokes impeccable attentive extra attention birthday big sangria cake guy nothing short awesome sir food mon options choose flavor sangria well mango flavored one mango perfect sweet strong girls two enough tapas two tapas size regular sizes lot somehow managed version sauce sauce amazing take sauce mussels ate thing bread soaked garlic sauce loved friend believe garlic sauce oxtail juicy def point enjoy oxtail nice cozy spot music fridays best avoid planning talk lot 
23,place must thursday night bring date rincon wife son daughter two table electric traditional dancing atmosphere now waiter huge help group tapas selected octopus sardines ham cheese stuffed olives julio upset two best sellers garlic sauce churrasco quail egg brought red sangria dinner sherry plenty table reservation next time 
24,fresh air aming overpriced tapas city nai real good assortment tasty small atmosphere friendly waiters ambiance reminded tapas spain refined artery clogging friends breeze chorizo rojo gambas ajillo manchego jamon least pitcher sangria 
25,wow tip go table area flamenco place stars otherhand measly wah think favorite olive flamenco worth boyfriend took table second extremely reservations seated towards kind party people accomodate reservations got seated behind another table perfectly end matter restaurant spoke oceans hands elegantly endlessly night flamenco casted feet beat twisted around tapas yelp said couple pitches good servic really understood got octopus dish empanadas seemingly pretty terrible used something flamenco easy overlook bad food know food ultimate power dinner better food come nai tapas show lots sangria experience awesome 
26,dinner food feel ripped tapas serve bite pieces plate dishes ordered definitely recommend chicken alioli braised quail cheese piquillo peppers stuffed cod steak good mussels wine sauce mussel kinda also sangria mango great pomegranate per price great thing loud lost definitely worth checking 
27,night birthday put restaurant service give give good everybody uno served visited super duper friendly working good brought celebrate birthday asked us first worried contrary uno kept cake kitchen finished brought lit candle slices us even washed plate brought one slice course token food coconut will seriously life also sangrias favorite tropical chorizo cebollas great already times says lot ever return soon blogspot coâ foodcomalogs blogspot 
28,minute friday night dinner reservation see nai still went service food service absolutely several times never friendly great recommendations checked regularly encouraged us try flavor yes pleasee even offered replace liking food meatballs bomb croquettes flavorful definitely recommend steak patatas bravas bit potato big alioli instead stood ed particular experience seating ambiance warm friendly anyone larger group dinners 
29,must drunk sangria taste fun yes tipsy yes pumped stuffed anchovies literally snacked spain basque country years ago excitement ended olives octopus came recommended waiter overcooked unimpressed dishes asparagus awesome take couple tapas places popping manhattan really come 
30,friend visiting though never reservations chose though pretty empty want repeat ordered ajillo really flavorful garlicky fried fish peppers stuffed evening patatas alioli mayo nothing empanadillas atun one favorites stuffed empanadas lots food liked sangria also good lot tried think classic red bartender friendly pushy definitely tapas 
31,yummyyyy tapas pitchers sangria else succulent intense briney typically cooked order servings actually ended taking mussels bread dipping broth definitely something time visit pieces sauce escargot absolutely divine totally garlic plate pairing garlic bread definitely worth order ham croquettes higher level sticks better ham delicious cheese goat serrano tomato definitely plate whole evening fan goat combination ham tomato helped cut cheese flavor fan goat cheese dish try first carmalized onions cut spiciness chorizo taste paired basket chorizo perfect definitely another order next chorizo fried potato dish pieces even though fried potato starch something pass something home make patatas potato squares drizzle worth ordering patatas starchy element also garlic sauce best dishes night us around garlic sauce mouth right amount hits little paired winner definitely meatballs meatballs meatballs friend commented meatballs awful order another ordered mango mango one wine vaguely sweet touch slices mistaking blueberry really definitely hints feeling fizz probably dessert venieros street hilarious us ton gave us little jar belize little tried today fried chicken actually going hunt jar fried find never since never fill also bread total ended sangria come try tapas dishes fyi back happy 
32,fun saturday night packed managed bar service great fan tapas recently barcelona high expectations nai met really selection impressive passionate celebrate people special occasion flamenco steps 
33,new favorite bar paprika serving steak well even small portion ham solid croquette good spain usually order expect perfect size amazing pitchers sangria happy hour prefer love 
34,place spanish sense order night head lot said spaniards suspect mind mind little case spaniards term assume now way thing place atmosphere adorable food quality fantastic walk skeptical garden know means basement however dimly lit soft orange red romance place guy want make think romantic little fun coating back food order dry otherwise greasy dish octopus pieces octopus chunks good grasp long enough travel disappointed however sangria service great friendly man occasionally least expected will back friends 
35,birthday ppl professional super easygoing friendly guy special day special came night made reservation confirmed nice call tapas great potato flavored highly recommend garlic tapas dish much white asapagus dish quite bland baby quite nice entertaining watch birthday girl yes surprise forget mango delicious sangria townnn heck two pitchers every savory good gave buzz 
36,impressed hard tried tapas fried toast cracker pure works well riojana think bravas whether potato sausage every happy estofadas tasty came delicious dip bread seriously soak staff great check things super friendly even gave complementary dessert liquor need sufficiently mango may taste juice lot tropical also good better also live flamenco shows week love check 
37,went dinner good wine sangria white champagne blueberry pomegranate champagne tapas come bigger servings people tapas give perfect food delicious favorites goat potatoes garlic steak six two something including must plan 
38,service overall food sucked nothing stood definitely meal go good food better half meal small towards center ladies performing stomp feet great job explaining first minutes got loud boring show long difficult carry conversation long place badly dont mark thats point eat 
40,say place menu inventive galician well excellent realize now love unconventional stuff incredibly affordable executed highly friendly staff see relatively minutes closed night went table available us minutes watching nascar tell brought quickly yet everything great selection including tap octopus definitely back good 
42,awesome tapas service first tapas legit albondiguillas meatballs ajillo shrimp garlic almejas diablo sauce pollo al ajillo sauce came unlimited perfect sauces clams really means something tolerance great expecting disappointed gambas al large goodness decent definitely meal secondly give six different flavors friends red based mango tropical flavored sangrias sweeter champagne based sangrias middle sounded wanted small mango decide sweet us expected give cup sip awesome waiter giant glass bonus ended pitcher happy hour special night deals third bit early unnecessary waiting come friendly explained specials even tips order waiter pretty haha made glasses always filled filled bread patient willing explain menu empty came different night weekend studied back 
44,favorite restaurant place life tempted try lover flamenco finally day arrived around asking two little lovely make wait entire hour fact basically losing since gone else instead sitting waiting idea appreciate rush anyway ogling food little table empty finally first gambas ajillo tell number wanted go badly today craving surpassed expectations end eventually servings croquetas bacalao queso de cabra ham still thing fantastic also amazing tinto tasty mango sangrã died still exquisite top dessert also perfect tarta de santiago beautifully balanced absolute best pals tonight forward coming back much frequently ambiance music knew played please forget flamenco show wonderful everyone 
45,mango sangria empanadas blood aioli meatballs cheese plate cod garlic overall tapas lighting bright tapa sangria best ever good price tasty right ones lively turns boring dinner thing place staff friendliest ever seen feel always tip 
46,came others prime time staff us since make bar still go really treat nice appreciated garlic shrimp great got huge fresh fruit right try place 
47,say enough nai group came day went beyond serve high top table tables back taken server laid back many tapas order everything away tapas pitchers white sangria standouts croquettes bravas fish dishes good well however stood accidentally brought touched house brought us house well whole ended tip alcohol kind service new alone incredibly upscale good prices unpretentious outstanding 
48,ay begin file places want good review saturate food comfort done correctly light fresh less re plates center place heart done right smoke lights pulpo la best nyc restaurant tender chewy tortilla ola tasty dry asked sauce brought aioli refreshing tomato yum begin meatballs tender flavor good omg wtf sauce cod croquetas soft fried volcano cheesy contrasting saltiness fish dessert usually good might try tarta de santiago advertised mom made home envy thing ntb food great reminds dining nyc sadly least experiences enough many city credit wielding lazy impress made table forced grit teeth food shovel restaurant repeat common stopped took earnest made believe eating staff incl bus really six end flamenco dancing alluded amazing ntb plays good bon mexican cousins even downed wine chatted never raved experience meal much sure girlfriend contemplated ditching union square stfu 
49,fact day means drink early village let yelpers guide decision led nai choice let waiter owner choose urgently octopus house fried crostinis sauce thrilling plate awesome crostinis delicious sangria make vat every day full choice red white pitcher first said pitcher white hehe yummy want go red bloody 
50,nai really heard raves yet quaint tapas bar inconspicuously east doors cozy happily enjoying munching full night walking impressed service able seat waiter mango sangria less two clearly disappoint liked sangria full boozy golden liquid fresh pretty night stars one make fall tapas trap know talking tapas bars charge require glass see food call selves cheap arm leg fill dishes come small plates running around running serve ton super twosome happy small plates break bank rather noteworthy spanish done mejalones mussels sauce wonderfully fresh paprika broth patatas bravas awesome white freaking noteable morue red stuffed cod fried small crispy bread legit fantastic exceptionally go back eats especially 
51,wow phenomenal great takes love party six practically top favorites avoa de frito lost many pitchers simply refreshing delicious waiter friendly accommodating dining welcomes back will back 
52,wanted nai host really lovely enjoy meal one started evening tropical sangria four tapas crabmeat patatas shrimp scallop pieces pieces octopus mound tomatoes green annoyed nearly seafood warrant tag dish devoid say grilled came veg cking green order tomatoes hate variety white inside crabmeat terrible strange mussels tasted ok tasted ketchup vinegar waiter least twice enjoyed tell heart give nai deserved bad 
53,quick check place hipsters stopped evening check live flamenco music music wonderful atmosphere even better good food interesting people also professional liked bartender tonight around ten things orders pouring moment food order still piping hot small experiences helpless food cooled end bar really appreciated happen flamenco dancers every definitely back 
54,rather pay eat dog support ever philly every establishment least tries needs vegas style piss glitz terrible anyone really wants true experience even pathetic employees people eating shithole 
55,good quality tasty rolls savory steak sandwich clean inside something proud clean read alot pats experience folks expecting cheesesteak build locals level beyond cheesesteak simple basic together outcome good product many steak embrace diversity newcomer let favorite hope great journey steak nirvana 
57,pats genos better personally used great read cheaped customer service surprisingly genos tourist sightseeing know go great steaks even seek second creepin nearly allow one 
58,seem crazy giving fiver something never else hot used container food blown away make red goodness long kill stay away aside enjoy end also joey vento philadelphian inbred either college 
59,returned road philly visit know block recently tried preferred roll although either place must agree couple spots much caboose corner fairfield nj every roll better quality quantity much larger variety custom toppings come great cheesesteak complete 
60,town wanted philly took personally heard many good expect decent cheesesteak ordered cheesesteak cheesesteak less minutes sure babies now well many said cheesesteak bread chewy yank actual bite toasted stale mediocre meat barely tasted bit hard going first give food service save trouble list 
61,along road trip told cheesesteak spots philly fan teh chease figured mind july went pretty quick definetly assembly prep cheese sandwich see food right eyes cakes steaks buy comparison big guy presummembly geno guy sandwich well screaming guy family left enetertaining long drooling starving order got one cheese got fries cost tried first good suprisingly missing peppers onions perhaps eh took mine boy provolne onions ate whole literally another first eating cheese philly hear lot geno got something right back philly def stop grab one one complaint offer peppers thanks 
62,born raised philly girl green die heard cheesesteak philly many time called every name book opinion ring philadelphia blasphemer girl keep real plenty authentic better 
63,long wait philly cheesesteak maybe expectation honest worth wait hype thing got excited took food say even extremely nothing bad talking really enjoy philly cheesesteak good 
64,fro really cheesesteak since steak cheese great staple make tastes need jose garces everything tastes now happening cheesesteaks dollar menu want medicore cheesesteak dude yells spot suggest getting heading roast 
65,time since philly vs line loser far even contest tough barely wiz flavor either near order window speak please times cash cheesesteaks another window odd whatever people taking order instead snap snap guys ok crazy annoyed plus 
66,definitely vs honest kind definitely low honest find street fav signs mean fries calling freedom fries kind super know order cash front place order soon will slap steaks counter goes quickly cheesesteaks sloppily together think really enough meat cheese bit however bit friendly bother freedom bland worth oh yeah counter cashier weird keeps 
68,sucks shame people choose cheesesteak two places really overpriced cheesesteak take seconds order literally line places give better quality variety different cheeses everybody toppings onions cheese two bread inside finding eat miss try major disappointment 
69,excited try philly cheese american disappointment order ready warned rude cheesesteak moved steak piece american cheese bread better got better street called better posted order window rude mention bother opinion street philly work hard better food product fame signs brains changed attitudes 
70,philadelphian want good cheesesteak go genos greasy within rude two cliche go pats steaks better true know corner shops fan steaks brandywine pizza garden tony south good city steaks montco via steaks 
71,keep going rule man pats cost however prices gone lines gotten longer longer fan ate cheese whiz fan steak quite frankly places city almost places better visit longer willing pay consider evolved 
73,attractions good homebaked things steak usually poor major wanting end cheesesteak welcoming least outsiders amazing reputation managed open staff rude must speak horrible global today 
74,place full ethnically political immigrants even bring cheesesteak tasted steaks goodl back place years ago wanted street point never tried friends steaks first place walk waited line friends extremely prejudiced signs philadelphia establishment face working seemed rude across picked upside offensive signs steaks great south st prince classic want good cheesesteak much delicious supporting 
76,tourist trap says tony inflammatory vomit darling merica think cheesesteak someone surname wreaks steerage countries digress things getting cheesesteak corner bodega soulless wage job self satisfied tony ventos authentic scarfing steak made steakums mom bought sale getting cheese bucks short break guy merica idiots think paying line places never wanted put steak authentic grew subhumans serve rude line 
77,first philly different try cheesesteaks span days felt shat famous spots since provolone ordering flavorful major chewy much experience right street actually provolone bread much onion bread tony longer worth peppers pretty cool complaint put onions else flavorful seems quickly might spots line pretty long see sandwiches front forgot sweet peppers charged one throwing top sandwich seemed lacking though terrible lol also check upstairs dining area find autographed photos celebs washington overall rating best tony winner cheesesteak title differing fun tasting figure afterwards 
78,first new many debate best philly one thing love given new one might closed especially given fact staff cheesesteak neon adorning landmark tend differ depending hit peak time line wrapped partway around system serving cheesesteaks helps line move took us upon arriving stickers posted illustrating ordering contempt un establishment order specific stating simply type cheese wit thats bother mushrooms silly true cheesesteak however food exceptionally welcoming built promptly major detractor also place card hand variety separate going prices cheap cheese cup eat coating cheese time tell sure hunger anticipation great getting whiz without one love steaks offer cheese restaurants offer cheese nice little heavier cheese bread meat really although usually onions makes work well cheesesteak grill hardly grilled crunch cheesesteak using nice sliced ribeye pieces fat juice flavor bread cheesesteak cheesesteak delivered rolls use thick roll firm cheesesteak sandwich together cheese terrific bread everyone favorite cheesesteak king steaks said philly cheesesteak joints future cheese cost 
80,food ordered popular cheese whiz beef tougher street rival tough cheese service order cheesesteak first drinks second know food time find location corner better much come tell definitely trap 
81,transfatia line people people overweight business ask america speaking disgusting english quite want hear english words thank god reflection filthy seems one people cleaning demographic people time removing surprise average dismissive sandwich doughy mess melted decor place attention showoff diarrhea around place trying philly seemingly people big bad advertising around knew better 
82,time philly superior philly er dont proper genos good new incredible though meat cheese god cheeseeeee one one cheese pepper original good really improve waste head straight 
83,take town simply feel necessary visit never minded much take downhill beg friends let eat meat rubbery chewy dried though cheese whiz moisture desert mouth bread stale service place dirty bad represent philly 
84,amazing also understand speak new difficult sign flags saying order want thickest asian come worker parents longer kids sign turned almost away purchased hotel come find anti mumia lol mumia supporter strongly mumia go place murderer clearly now everyone support place cop hangout 
85,philly one share longer line decided approaching faced racist statements founder america english want country ignorant well official speaking establishment may whole thing important part cheesesteak sat across took bites girlfriend immediate mmm eh bite flavor stated dry flavorless best cheesesteaks jersey 
86,place good places canned cheese everything bad hype go wrong cheese fries nothing late night always leave go towards english poor customer service impatient flawed 
87,overly sandwiches service kind fast generally explaining things order window care many sandwiches kind american cheese provolone want sandwich wait move window drinks fries two quality steak ums better cheesesteaks nyc philadelphia native owned bar go know go reviews racist gone 
88,noticed april know touristy thing pats steak side side ready go touchy subject cheese steak think ready mail good better northern pretending far complaints staff window total seconds wiz nasty way nice 
91,place tourists right mind eat competitors across street item actually edible fries american still wait line rude rushed steaks overpriced meat cold cheese rolls outside unsanitary nauseating go go known ne gooey pretty much anywhere 
94,business brought philly since heard various food shout expected steak bland severe lack flavor will clean seemed tad compared steaks sandwich pricey overrated steak cheese sandwich nuts 
96,big name living philly exploring cheese market detail much better places place got ambiance blinding neon definitely sight see drive walk go else eat ok fatty left pretty expensive special compared worst part window see america speak english says management reserves service sort sums south philly folk want will definitely roll ask fried onions instead wit want cheese served people think racist offensive serve crappy go looking night night heavy across street actually want good go roast pork 
98,medical student city brotherly love better cheese even really problem say obvious minorities immigrants welcomed window press america order english ruined hell country real paid cheese around back late one bite never favor lured neon pictures original cheese steak 
99,city place compete granted known thousands gaudy neon international space happen directly street another well always followed reason slab thrown dressed onions cheese go city put higher quality product location key 
101,went years ago first visited must waited day totally mentioned wanting cheesesteak knew return visit day weekend monday since sunday feast day allowed meat cold meant line much shorter decided time went whiz whiz worse adding cold seating car cheesesteak else philly bigger crowd freaking delicious visit anyone 
102,philly fair share philly years personally true native philadelphians big pats tourist area steaks tasting mention pieces big add meat since food channels think rude comments speak taken shake tourist countries steaks across place racist way show honor country needless say typically prefer philly steaks philly will trap overall food good 
103,philly philly crack well guess expecting miracles tried experience satisfying sandwich one window fries another wait extremely short detract long may familiar sandwich whopping seems bit minute consume half extreme doubtful great meat perceptible cheese bread tasted thawed true worth money 
104,yes home cheese cheese steaks frankly several steaks great bread fantastic meat dry walked restaurant better fact almost exactly steaks elsewhere now needs made mignon gruyere combination fresh bread flavorful meat real good south philly now 
105,possible worse little said eat bread less muzak another stale tube simple gunk less concrete colored steak pad sweaty squares onion textural nightmare portions completely overwhelmed cloud might less stammer incredulously insufficient salt dive depends airheaded tourists friends speak truth never bad restaurants always making unique one waste price back wrapped console hapless diner tag similar karma give person go raincoat 
108,coming philly cheesesteaks microwave minute boom yes know cheesesteak ca wanted first time philly yep tried place wiz wit pretty tasty thing really bread bit cheese soften bit instructions line verdict place great brightly lit attract tasty yum 
109,opinion far steaks think go will see taste difference wit prince steaks seems whole whole pieces meat keep line surprisingly parking time hours games go least inevitably asked someone go cheesesteak 
110,always see tv really wanted eat philly cheesesteak got compare far tourist liberty hall one apparently mentioned live reputation gave one hard bag rejected told go one fries line patience know order right preferred husband cheesesteak one bread old meat little real good though got sandwich texture although pretty skimpy husband got melted go street blocks liberty bell also cheaper go recommend 
111,place boyfriend stopped weekend philadelphia ok across stop places great pretty found vs bread toasted better appeared meat offers ketchup hot seem much seating though able sit overpriced trying cheesesteak places philadelphia make 
113,came thursday town see hype cheesesteaks geno somewhere past geno extremely flashy neon definitely visual attraction cheesesteak composed amount cheese disappointing philly horrible fact businesses advertisement developed attitude less take want geno go coming lights sort 
115,hard please kinda nasty real non authentic threw away half way cheesesteak needed way ingredients came cheese onions minutes bull even believe overhyped people might hard legendary establishment bad takes cake press saying english really overlooked know throw will back 
116,came saw cheesesteaks upstart right original appropriately colored will added course cheese wiz chopped perhaps least fortunately wiz generously seemed thicker consistency even thick sandwich worth lore order sit likely cash 
117,genos say well sandwich place blatantly attitude flaunt political geno mixed politics cheesesteaks bones website now seen pointing order now seriously many started speaking tongue fox news journalists ed right wing outside still french fries freedom french government enough lies us wait war well bad taste pepsi away want right wing zombie free thinking independent liberal italian fanatic will spend 
119,obnoxious exciting disappointed living whole waited turned finally try famous sandwiches day ordered american cheese peppers french fries meat big enjoy cheesesteak overall city experience try wil go back good 
120,review much say put top seemed bit side will others less cheesesteak much rather part seem much flavor overall eating already made going try cheesesteak 
121,pa personal mission go philly famous reading many go forced road trip allentown mission cheesesteaks cold night completely unaware seating change quickly prepared know lingo attitude eat car got wiz personally think think amazing company definitely found overpriced aware cash agreed bread good philly area probably since probably going cheesesteak domi 
122,suffers exposed hyped really impartial steaks think steak star hot star restaurant hot sauces give hot sauce good sparingly hot sauces scale hot tabasco sauce 
123,favorite tourist trap due mural cheesesteaks warm best beef cheese ruin cheesesteak mention service rude speak english well fries want satisfying go street review deterred enough accept credit covered seating available 
124,might fair tried steaks extremely satisfied set tough say much piping hot flavor cheese practically onions neither lemonade wash dryness steak thing things things bigotry extremely country proud felt terrible saying order english employees need ridiculous signs cheesesteak dry meat little cheese onions ruined think back 
125,philly cheesesteak ever taste test times still wins cheesesteak delicious bread melted cheese whiz cheese whiz issues meat good good sounded steak attitude sort comes territory philly really line everyone manner win 
126,meh see review think really judging joint sense vegas strip classier clean sanitary little less worried catching disease food baguette soft onions finely massive turn beef sandwich slightly smaller cheesesteak less around quite ghetto lucky parking blocks away certainly night 
127,friend traditional bit noon bad spot block much line got already forming decor pretty say got food seconds pretty racist signs place putting really reconsider reading signs really go back english press deporation really patriotism cross incredibly far ordered cheese fries coke american cheese onions ordering bit confusing different cheesesteak one move window fries pay prettttty slices onions ish really well roll looked wet one actually grease napkins went napkins felt digestible however tasty cheesefries fries bad whiz top bottom fries stuck together back another friend visiting wanted right across street really go overpriced signs really putting 
128,yelping one rant awful racism establishment direction deplorable even directs three year easiest establishment glorified trap name money backs others americans focus food leave time hands many others tourist expectation excellent authentic philly philly mere imitations local shop even frozen eating first thought stick cheesesteak tasted cardboard may munched five signs written way lots grease disappointed hey experience two wawa satisfied best cheesesteaks reading go say went business word wise choked greasy cheesesteak another one street tried finished real wondering yelp look somewhere real point tony transplanted latest philly offer 
129,consider overrun tourist trap plain history going cheesesteak plop street place invented joey vento even born thing ordering english may food okay bad cheesesteak near dozens way stretches street actually consciously avoid traffic money appetite worthy special 
130,stars well even better know places flavorless disappointed thought two steak giants serve flavorless let suggest spices bring flavor party bet make times either places hype 
131,went cross roadtrip san ca boston ma stopped eat since known genos first cheesesteak fries one friends save bit much feel bad giving famous tourist trap lot better cheesesteaks elsewhere 
133,philly food philadelphia definitely place came along try famous rivals trying across street wins hands pats blah mention beefy taste bread chew making bread without condiments store bright highly owner improve less advertising 
134,spend way much steak comes something ended around semi roll breath wiz steak onions almost caramelized cut melted enough bits now made hungry fries good bottom line come late crap steaks near campus 
137,everyone else actually cheesesteaks wayyy priced everyone talks idiot times sure ordered pissed racist issues world stances political subjects signs popular america order english care stick good selling priced cheesesteaks douchebags 
138,one shittiest overrated piece cheesesteak ever tasty cut meat meat loose meat moist well neon made las cheesesteaks yes try experience better however better city example two nyc verdict overrated remember time traumatic well fu ed next another 
139,moving ago going depressing friend felt obligated last night town poor girl cheesesteak yeah forgot one pat geno rocked bit line none made perfect tell care ordering gruff behind counter wiz later gruff slid open another cheesesteak window shut boyfriend waved drink got filled way wanted weather really someone twice cart another joint found moving philly hours since ate thing bites friend anything hate waste food case feel pressing half abandoning earth decided wanted sure finish cheesesteak rolled boyfriend hailed cab end 
141,cheeseteaks meant enjoyed enjoy suggested intoxicated drive please drunk alright yes establishments philadelphia somewhat steak thought better haha cheesesteak ever feel represent true satisfy cheesesteak night food come 
144,terrible cheesesteak even whiz wit lady everyone mean inside chopped give place oily flavor super blind kind deal english much america supposed town love country founded immigrants rant aside going side 
145,actually want overrated tourist places cheesesteaks skills comprehension make service quality always behind think food make bad even close beef rubbery big uneven fatty chunks want pay something lot hate ck 
146,native instead steaks fatty often waste meat fat soggy fries always likely container know something tradition workers tough time much yell puppy make fools hold know done week soggy wet steak end spitting know trap worth steak cheese fry soda much right across street rather wait ever eat go now 
147,football game really saying something bread bland rude changed diet monet got drink ordered pepsi ordering one drink people posted offensive signs guessing order want tourists money never save time 
148,one visiting reluctantly come visits afternoon sandwich previous occasion wait minutes usual expect cheesesteak bad plus instead raw fry complaint price amount meat charging positive unlike also disappointed 
150,cheesesteak places sits hours grill fresher rather spend money lights garbage cans street drunk better ingredients xenophobic confederate flags appetite exploitation will eat across street want great drunk 
152,julia finally place passed knew great versus cheesesteak battle stop choose line neon lights hoping use gauge better even waiting asked one tourist sure town went whiz topping great philly looked thing wtf big pieces taste even home much better one will drop 
153,oh neon whorehouse err direction glare signage blocks away tourists obviously inferior cheesesteak look window time see meat pre cooking right steak made order boo bland actual size sandwich big comparatively much better sauce sidewalk pretty good though english allowed plus obnoxious really need go unless want best part overnight really steak always come 
154,trying challenge believe meat dry tough say awful suggest friend vice anyone one flashing lights pictures sponsors might pleasure told chinese take restaurant even better left another venture 
156,cheese steak challenge bf vi ordering onions wait grilled guy rolls eyes literally later lot said quickness move done quickly honestly cant cold steak looked runs vegas style joey also embroiled years patriotism sign america 
157,wun wiz minute philly honest may better elsewhere pretty think genos perhaps years street selling exact entertaining guess think px yelp cheese goopy bread rock offers bouncy baguette instead clumps makes solid meat sorry seems new done 
158,philly onions melted cheese good fast paced friendly owner members helped breast cancer patio world series seating easy find people locals many negative reviews take exception place much institution constitution must check also doubt 
159,tempted cause witness often couple came enough money forget happened pay couple right paid hearing getting anyway realli min bad noteworthy fun got food street use dispenser 
160,jerk right tourist without cheese steak thousand billion every one crossroads mooooostly table free crazy components served healthy taste unimpressed want stickers window least next time 
161,really great wayyy better however many people line nice going wasted eating cheese dumped cheese much already drinking neighbor friend likes guy power sidewalks stay away hours 
162,horrible close review sandwich par something rate deli provolone cold melted think whiz saved fries gave us order fries us plain fries thing place even nasty lights world save sandwich 
163,worst steak understand likes unfriendly rude normal food steak pepper plastic way priced soggy bland let wife new philly tourist treat sorely steak unknown joint broad street good guy rude steak place 
165,warning stay away many bugs bug zapper end lived philly touristy pats tony many almost across pats places ever steaks par flavorless excited now street stay warned 
166,ok honest hype food taste uncooked meat atrociously long trying speed now bread stale stale really made whiz asides fun food waiting line oh yeah beware hotsauce 
168,think better meat tender tastes better say whiz melty starting taco bell melt sandwiches fast cheese goes bun little ask melt next time ground next one killed line duty though people actually nice think funny though classic classics gotta 
170,internal cheesesteak must telling steak behind conversation granted line time rare ordered six melted cheez onions come south philly one sandwich please ahhh cheesesteak hard right onions melted right money looking philly musicians mural fabian frankie feel philly resident yo adrian 
171,tried waited minutes line deal america speak english sign last checked america legal tell language speak suggest america official legal fact language guess order sign demanding ugghhh owner non english speaking close standard alone standards saving hunk asked money back sandwich fuss obviously never philly anyone know philly bland leathery cheez whiz hardly basically good cost less resting tourist trap serving scrawny assed cheesesteaks public pass philly go good cheesesteak even steaks street puts sandwich places demand speak surely assembly line bland next cheese bucks good place 
172,big week time took brother since check headed found way try find look around adjacent park line long usual wiz meaning want way sandwiches cheese prides freshness cleanliness definitely check place 
173,way arterial arch tractor window car parked deep evil definitely definitely right compromise cheesesteak ego better quick whiz waa tourists cameras sunday now part elite drunken philly completely face designated driving lol 
175,geno really joe pocket opened business son named works father thought story share went big rivals right across street waiting first daughter desperately told go park adjacent right asked back left piddle came saying wow place friendliness one profits stand even daughter ordered stayed daughter took order eat sure decor order fries must order pay different see times meat better law agreed bread onions raw sauteed grilled sandwich sauteed cheesesteak cheese provolone definitely wins hands friendliness 
